src,tgt,src_len,tgt_len,Meaning completely changed,remarks
have you seen the shape of water? i don't particularly like the movie. its a bit to slow for my taste and a lot weird. i have watched it. but i would not watch it a second time,kya aap shape of water ko dekha? muje us movie particularly pasand nahi hein... yeh thoda slow hein mere taste ke anusar aur thoda weird bnhi.. mein already dekha hoon.. lekin mein second time nahi dekhunga,38,36,,
it would decide if they could be renerolled or not. how do you feel about how sully cheated?,wo ye decide karta ki wo reneroll ho sakte hai ki nahi. jis tarah se sully ne cheat kiya tumhe kaisa laga,18,22,,
"the director is zack snyder, 27% rotten tomatoes, 4.9/10.","zack snyder director hai, 27% rotten tomatoes, 4.9/10.",9,8,,
the critics also advise to put aside any literary agenda to best enjoy the movie.,"critics ne bhi use advice kiya, ussed literary agenda ko side rakhar, us movie ka best enjoy karo",15,18,,
i'm not able to see the document that we will be discussing. do you mind telling me what movie it is that we will be talking about?,woh document jo hum baath karnewale hain woh mujhe dikhaye nahin deta.aapko aitraaz hai woh movie ka naam batane mein jin ke baare mein hum baath karnewale hain.,27,28,,
henry cavill.  wonder wo man is in it too.,henry cavill. wonder kaun sath me hoga.,9,7,1,
"the supervillain, gru, has a rivalry with another villain named vector after he steals the great pyramid. ","supervillain, gru ki rivalry hai ek aur villain vector ke saath jab wo great pyramid steal kar leta hai",17,19,,
what's it about?,tho yeh kis baare ka hein?,3,6,,
do you like crime films?,kya tumhe crime films pasand hai?,5,6,,
all the best ones are tear jerkers! i'll be sure to have them handy along with some good snacks.,sabhee behatareen aansoo jhatakedaar hain! mujhe yakeen hai ki unhen kuchh achchhe snaiks ke saath kaam karana hoga.,19,18,1,
"both, but mostly action.","dona hai ,par action jayada hai",4,6,,
the scene where the bad guy realizes that they just pissed off wick - priceless,is scene mein badguy us wick priceless par pissed kiya jo unhe ab realize ho raha hein,15,17,1,
it seems odd that they don't ask a scientist or marine biologist at some point to intervene.,ajeeb hai ki woh kissi scientist ya marine biologist ko beech mein nahi laa rahe.,17,15,,
it is strange that his family could afford a butler but he goes to prison for stealing...,yah bilkul ajeeb baat hai ki iski family naukar afford kar shakti hai fir bhi wah jail me chori karne jata hai,17,22,1,for stealing vs to steal
"because this movie is called batman begins, i agree that it was appropriate to show bruce's beginnings.",because movie ka naam batman begins hai so i agree ki bruce ki shuruaati life dikhana appropriate hai.,17,18,,
"i'm looking at the list of the biggest roles, and they are not stars. but that goes with the anonymity of all of the characters really","main sabase badee bhoomikaon kee soochee dekh raha hoon, aur ve sitaare nahin hain. lekin yah vaastav mein sabhee characters ke gumanaamee ke saath jaata hai",26,26,,
"yeah, maybe it's ok for kids. they like the predictable storylines.","haan, maybe yeh kids ke liye tho ok hein.. predictable storyline hein",11,12,,
the back story for mike was kind of sad,mike ki back story kafi sad type ki thi.,9,9,,
i like the villain. i thought he was funny.,"muje toh voh villain pasand hein, voh jyada funny lag rahe the",9,12,,
he directed batman vs superman. the film takes place 18 months after the battle between general zod and superman. superman becomes a controversial figure while clark kent learns of batman's form of justice and seeks to expose him via daily planet articles.,usne batman v superman direct ki hai. wo movie general zod aur superman k battle k 18 month baad hoti hai. superman ek controversial figure ban jata hai aur clark kent ko batman k justice k tareeke k baare me pata chalta hai aur wo use daily planet k articles me expose karna chahta hai,42,55,,
"that's true, and it probably also has a lot to do with the types of humor people like, or don't care for. ","yah sach hai, aur shaayad yah bhee haasy ke prakaar ke logon ke saath bahut kuchh karana hai, ya paravaah nahin hai.",22,22,1,
"even if he lost all the money he made previously, his movie deal, book deal and speaking fees has made him millions","agar voh previously saare money lost kiya tha lekin voh movie ko ache tarah deal kiya, book ko bhi,, aur kahi millions tho apne speaking fees se banaya",22,28,1,
what role did robert downey jr play?,robert downey jr ne kaun sa role kiya tha ?,7,10,,
"unlikely yes, i think they were going for a mysterious beginning to show how batman came to be.  but still want to leave some mystery as he still develops a phobia to   the bats","shayad han, mujhe lagta hai ki wo log batman kaise bana uski mysterious shuruvat batane ja rahe the. par thodi mystery choodna chahta hu kyuki use abhi bhi bats se phobia ho jata hai",34,34,,
"i am a great fan of him and his work, i don't think he's avenging his wife though","me uska great fan ho aur uske work ka bhi, yadhyapi mujhe nahi lagta ki voh uski wife ko avenge kar raha he",18,23,,
right. i feel like the review that mentions the cruelty that's involved in following your dreams really sums it up. the film is not afraid to show how much hard work and hardship is involved in making it big,right. lagta hai review jo cruelty ko mention karta hai dreams ko follow karten hai sum karta hai.film afraid nahin karta hai ki kitna hard work aur hardship involve karta hai bada hasil karne ke liye,39,36,,
"the main character is gal gadot, but also stars  chris pine, robin wright and danny huston","main character gal gadot hai, lekin chris pine, robin wright aur danny huston bhi hain",16,15,,
"wow! yeah, it's been awhile for me!",wow! haan mere liye bhi kaafi time hogaya hai.,7,9,,
i really like gary oldman as gordon. he plays a good cop really well.,gordon ke kirdar me mujhe gary oldman bahut accha lagta hai. wah achhe police wale ka kirdar acchi tarah nibhata hai.,14,21,,
most definitely worth it. like i said its intense so you are in for a ride.,voh most definitely worth karta he.like ki mene kaha ye intense he aap par ride karta he.,16,17,1,
it seems like movie titanic at the end,iska end titanic type se laga,8,6,,
"lol, very true.  it sure makes the situation crazier that it should be ","lol, sach hein. isse aur crazier ban jaatha is situation ko",13,11,1,
mine is anna,mein toh anna hoon,3,4,1,
"yes i loved the ending, i liked that the town saw that elsa was not as bad as hans made her to be, and that kristoff and ana ended up together","haan, mujhe ant pasand aaya, mujhe yah pasand aaya ki shahar ne dekha ki elsa utana bura nahin tha jitana hans ne use banaaya tha, aur yah ki kristoph aur ana ek saath samaapt ho gae the",31,37,,
"oh i remember that, i haven't seen it but it's about fighting robots.","oh mujhe woh yaad hai, maine use dekha nahi lekin woh robots se ladai karne ke bare mein hai.",13,19,,
yeah i never really trust ratings. we all have different tastes. it's all subjective,haan main kabhi ratings ko trust nahi karta. hum sab k different tastes hai. sab subjective hai.,14,17,,
who's pla ying in this one?,isme kaun abhinay kar raha hai?,6,6,,
thefacebook is just rotten. it seems like zuckerberg really shafted everyone else in the situation.,thefacebook to bilkul bekaar hai. aisa lagta hai zuckerberg ne sahi me dusre logo ki leli,15,16,,
"oh, i have not seen that. what is it about?","oh, maine woh nahi dekha.what is it about?",10,8,,
"in the beginning, we find that princess elsa has magical powers. she accidentally hurts her sister with them, though.",shuru mein toh muje lag raha tha ki princess elsa mein magical powers hein. lekin voh accidentally apni bahen ko hurt kar rahi thi.,19,24,,
"hmm, you mean the big scheme in the end?","hmm, end mein jo big scheme tha usse aap mean karte?",9,11,1,
they meet for the first time when he's playing a jazz improvisation and the music draws her into the restaurant.,ve pahalee baar milate hain jab vah ek jaiz improovament khel raha hota hai aur sangeet use restaraan mein kheenchata hai.,20,21,,
"yep, well  a military analyst, ellsberg is in vietnam during combat and documents the activities for the secretary of defense but when he realizes that the secretary believes the us is going to win the war, he is disappointed because he doesn't agree. years later he photocopies classified reports and releases them.","yep, yeh military analyst hein,  vietnam mein ellsberg hein jab combat aur uska activities ka documents us secretary of defence ne liya lekin jab voh realizes kiya th aki secretary us ko war jithne ko jaana hein believe kiya tho voh usse maane pe disappointment kiya, later, voh photocopies ka reports classified kiya aur release ki",52,56,1,
also the director,director bhi,3,2,,
